"","Date","Traps","Counts"
"1",2018-04-23,1,0
"2",2018-04-23,2,0
"3",2018-04-23,3,0
"4",2018-04-23,4,0
"5",2018-04-23,5,0
"6",2018-04-23,6,0
"7",2018-04-23,7,0
"8",2018-04-23,8,0
"9",2018-04-23,9,0
"10",2018-04-23,10,0
"11",2018-04-23,11,0
"12",2018-04-23,12,0
"13",2018-04-23,13,0
"14",2018-04-23,14,0
"15",2018-04-23,15,0
"16",2018-04-23,16,0
"17",2018-04-23,17,0
"18",2018-04-23,18,0
"19",2018-04-23,19,0
"20",2018-04-23,20,0
"21",2018-04-23,21,0
"22",2018-04-23,22,0
"23",2018-04-23,23,0
"24",2018-04-23,24,0
"25",2018-04-23,25,0
"26",2018-04-23,26,0
"27",2018-04-23,27,0
"28",2018-04-23,28,0
"29",2018-04-23,29,0
"30",2018-04-23,30,0
"31",2018-04-23,31,0
"32",2018-04-23,32,0
"33",2018-04-23,33,0
"34",2018-04-23,34,0
"35",2018-04-23,35,0
"36",2018-04-23,36,0
"37",2018-04-23,37,0
"38",2018-04-23,38,0
"39",2018-04-23,39,0
"40",2018-04-23,40,0
"41",2018-04-23,41,0
"42",2018-04-23,42,0
"43",2018-04-23,43,0
"44",2018-04-23,44,0
"45",2018-04-23,45,0
"46",2018-04-23,46,0
"47",2018-04-23,47,0
"48",2018-04-23,48,0
"49",2018-04-23,49,0
"50",2018-04-23,50,0
"51",2018-04-23,51,0
"52",2018-04-23,52,0
"53",2018-04-23,53,0
"54",2018-04-23,54,0
"55",2018-04-23,55,0
"56",2018-04-23,56,0
"57",2018-04-23,57,0
"58",2018-04-23,58,0
"59",2018-04-23,59,0
"60",2018-04-23,60,0
"61",2018-04-23,61,0
"62",2018-04-23,62,0
"63",2018-04-23,63,0
"64",2018-04-23,64,0
"65",2018-04-23,65,0
"66",2018-04-23,66,0
"67",2018-04-23,67,0
"68",2018-04-23,68,0
"69",2018-04-23,69,0
"70",2018-04-23,70,0
"71",2018-04-23,71,0
"72",2018-04-23,72,0
"73",2018-04-23,73,0
"74",2018-04-23,74,0
"75",2018-04-23,75,0
"76",2018-04-23,76,0
"77",2018-04-23,77,0
"78",2018-04-23,78,0
"79",2018-04-23,79,0
"80",2018-04-23,80,0
"81",2018-04-23,81,0
"82",2018-04-23,82,0
"83",2018-04-23,83,0
"84",2018-04-23,84,0
"85",2018-04-23,85,0
"86",2018-04-23,86,0
"87",2018-04-30,1,0
"88",2018-04-30,2,0
"89",2018-04-30,3,0
"90",2018-04-30,4,0
"91",2018-04-30,5,0
"92",2018-04-30,6,0
"93",2018-04-30,7,0
"94",2018-04-30,8,0
"95",2018-04-30,9,0
"96",2018-04-30,10,0
"97",2018-04-30,11,0
"98",2018-04-30,12,0
