"","Date","Counts","Julian","DDs","prop1st"
"1",2018-04-20,0,110,57.9734550927439,0
"2",2018-04-23,0,113,65.6259455507023,0
"3",2018-05-07,0.02,127,153.758369482136,0.00321543408360129
"4",2018-05-14,1.02,134,208.495986096212,0.163987138263666
"5",2018-05-21,0.58,141,268.731202054997,0.0932475884244373
"6",2018-05-28,0.36,148,341.219399389535,0.0578778135048231
"7",2018-06-04,0.4,155,388.103122288174,0.0643086816720257
"8",2018-06-11,0.66,162,434.119530154929,0.106109324758842
"9",2018-06-18,1.18,169,488.975739272997,0.189710610932476
"10",2018-06-25,1.72,176,573.216026515137,0.276527331189711
"11",2018-07-02,0.28,183,633.779888076102,0.045016077170418
"12",2018-07-09,0.32,190,716.432814038654,NA
"13",2018-07-16,0.36,197,814.701168657003,NA
"14",2018-07-23,0.14,204,907.154756760648,NA
"15",2018-07-30,0.1,211,1016.96092666779,NA
"16",2018-08-07,0.06,219,1127.27640380154,NA
"17",2018-08-13,1.24,225,1210.65895923912,NA
"18",2018-08-20,1.26,232,1302.10169095889,NA
"19",2018-08-27,0.78,239,1367.2531893477,NA
"20",2018-09-03,0.18,246,1430.99753940205,NA
"21",2018-09-10,0.06,253,1495.80449288472,NA
"22",2018-09-17,0,260,1531.8000005083,NA
"23",2018-09-24,0.02,267,1569.39482929954,NA
"24",2018-10-01,0,274,1608.95909577057,NA
"25",2018-10-08,0,281,1622.38119187828,NA
"26",2018-10-15,0,288,1637.89240614558,NA
